CALIFICACION;LUGAR;MES;ANIO;HORA;IMP_BOL;DESCUENTO;PUNTOS;DENUNCIANTE;HECHO;VEL_LIMITE;VEL_CIRCULA;DIRECCION_ORIGINAL;CLASE_VIAL;VIAL;NOMINAL;ORDINAL;CALIFICADOR;POBLACION;PROVINCIA;CODIGO_VIAL
LEVE      ;AV MONFORTE DE LEMOS 32                 ;7;2018;16.33;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE BAILEN NUM 000012 ;CALLE;BAILEN;NUM;12;  ;MADRID                                                                ;MADRID                   ;88200
GRAVE     ;CL PEDRO RICO 4                         ;7;2018;13.43; 200.00;SI;0;POLICIA MUNICIPAL   ;ESTACIONAR EN CARRIL DE CIRCULACION.                                                                                         ;80;130;CALLE BAILEN NUM 000007 ;CALLE;BAILEN;NUM;7;  ;MADRID                                                                ;MADRID                   ;88200
LEVE      ;CL PEDRO RICO 6                         ;7;2018;17.30;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE BAILEN NUM 000009 ;CALLE;BAILEN;NUM;9;  ;MADRID                                                                ;MADRID                   ;88200
LEVE      ;CL PEDRO RICO 6                         ;7;2018;18.19;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE BAILEN NUM 000011 ;CALLE;BAILEN;NUM;11;  ;MADRID                                                                ;MADRID                   ;88200
LEVE      ;CL SARRIA 56post                        ;7;2018;20.46;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE BAILEN NUM 000013 ;CALLE;BAILEN;NUM;13;  ;MADRID                                                                ;MADRID                   ;88200
LEVE      ;CL SARRIA 50post                        ;7;2018;18.43;  90.00;SI;0;SER                 ;ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.                                                                        ;80;130;CALLE BAILEN NUM 000015 ;CALLE;BAILEN;NUM;15;  ;MADRID                                                                ;MADRID                   ;88200
LEVE      ;CL PEDRO RICO 6                         ;7;2018;18.47;  60.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN NO VÁLIDA.                                                                                       ;80;130;CALLE BAILEN NUM 000019 ;CALLE;BAILEN;NUM;19;  ;MADRID                                                                ;MADRID                   ;88200
LEVE      ;CL CUENCA 5                             ;7;2018;09.20;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE BIOMBO NUM 000001 ;CALLE;BIOMBO;NUM;1;  ;MADRID                                                                ;MADRID                   ;106900
LEVE      ;CL PEDRO RICO F29                       ;7;2018;19.12;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE CALDERON DE LA BARCA NUM 000003 ;CALLE;CALDERON DE LA BARCA;NUM;3;  ;MADRID                                                                ;MADRID                   ;125100
LEVE      ;CL JOSE ABASCAL 30                      ;7;2018;17.17;  30.00;SI;0;SER                 ;ESTACIONAR CON AUTORIZACIÓN EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓNHORARIA,REBASANDO EL TIEMPO MÁXIMO     ;80;130;CALLE ENCARNACION NUM 000001 ;CALLE;ENCARNACION;NUM;1;  ;MADRID                                                                ;MADRID                   ;265295
LEVE      ;CL GUIPUZCOA 11                         ;7;2018;17.21;  90.00;SI;0;SER                 ;ESTACIONAR, SIN LA CORRESPONDIENTE AUTORIZACIÓN, EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.         ;80;130;CALLE ENCARNACION NUM 000003 ;CALLE;ENCARNACION;NUM;3;  ;MADRID                                                                ;MADRID                   ;265295
